Speed (rpm),Power (mW)
2547.9,900.98
2547.5,900.75
2547.2,900.64
2546.8,900.63
2546.4,900.7
2546,900.83
2545.6,900.99
2545.2,901.16
2544.7,901.33
2544.3,901.46
2543.8,901.54
2543.2,901.29
2542.7,901
2542.1,900.69
2541.5,900.4
2540.9,900.14
2540.3,899.96
2539.6,899.86
2539,899.88
2538.4,900.04
2537.8,900.35
2537.3,901.12
2536.8,902.01
2536.4,902.99
2536,904.02
2535.8,905.05
2535.5,906.04
2535.3,906.94
2535.2,907.71
2535.1,908.32
2535,908.73
2535,908.61
2534.9,908.29
2534.8,907.78
2534.7,907.13
2534.5,906.36
2534.3,905.51
2534,904.62
2533.7,903.73
2533.3,902.88
2532.9,902.1
2532.5,901.72
2532,901.42
2531.6,901.21
2531.1,901.07
2530.6,900.97
2530.1,900.88
2529.7,900.8
2529.2,900.68
2528.8,900.51
2528.3,900.27
2527.9,899.66
2527.5,898.97
2527.1,898.24
2526.7,897.47
2526.3,896.69
2526,895.93
2525.6,895.21
2525.2,894.56
2524.9,893.99
2524.5,893.53
2524.2,893.47
2523.9,893.5
2523.5,893.61
2523.2,893.77
2522.9,893.96
2522.6,894.14
2522.3,894.29
2521.9,894.39
2521.6,894.41
2521.3,894.34
2520.9,893.89
2520.6,893.37
2520.2,892.79
2519.8,892.19
2519.4,891.61
2519,891.08
2518.6,890.63
2518.1,890.31
2517.7,890.13
2517.2,890.13
2516.7,890.56
2516.2,891.16
2515.7,891.91
2515.1,892.78
2514.6,893.75
2514.1,894.77
2513.6,895.8
2513.1,896.8
2512.6,897.73
2512.1,898.57
2511.7,899.09
2511.2,899.47
2510.9,899.69
2510.5,899.76
2510.2,899.68
2509.9,899.45
2509.7,899.09
2509.4,898.62
2509.2,898.05
2509,897.4
2508.8,896.79
2508.5,896.14
2508.2,895.46
2507.9,894.78
2507.6,894.1
2507.3,893.43
2506.9,892.8
2506.5,892.2
2506.1,891.65
2505.7,891.14
2505.2,890.65
2504.8,890.21
2504.4,889.84
